"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","781","2175","Correo electrónico","Cambio trabajo",36,"Mujer","Francia","Francés","Otros",14,36,"No","No","voy","VMIP1S","ir",NA,NA,"nunca a el estadio_Gerland porque no me gusta nada a el futbol ."
"A1IR.xlsx","797","2224","Nota/aviso","Nota llegar tarde",55,"Mujer","Francia","Francés","Universidad",1,3,"No","Hoy ,","voy","VIIP1S","ir",NA,NA,"a llegar un_poquito mas tarde por que vamos de copas con mi compañeros de el curso de español ."
"A1IR.xlsx","840","2344","Correo electrónico","Familia",61,"Mujer","Francia","Francés","Universidad",60,4,"No","No sé si un dia","voy","VIIP1S","ir",NA,NA,"a utilisar este idioma , pero si Romain va a el America_del_Sur una proxima vez o si encuentra una novia"
"A1IR.xlsx","2096","5906","Nota/aviso","Nota llegar tarde",52,"Mujer","Francia","Francés","Universidad",52,4,"No","Me perdone pero","voy","VIIP1S","ir",NA,NA,"a llegar tarde porque mi coche no quiere funcionar y estoy en un cafe para avertir les"
"A1IR.xlsx","1974","5564","Correo electrónico","Familia",45,"Hombre","Francia","Francés","Secundaria",45,0,"No","En primero ,","voy","VIIP1S","ir",NA,NA,"a ver mi madre , se llama Danielle y tiene setenta_y_cinco años y es jubilada ."
"A1IR.xlsx","1988","5604","Nota/aviso","Nota llegar tarde",24,"Hombre","Bélgica","Francés","Universidad",1,0,"No","Yo no","voy","VIIP1S","ir",NA,NA,"a llegar por la cena hoy no espera porque salgo con amigos en un bar"
"A1IR.xlsx","1270","3586","Correo electrónico","Cambio trabajo",33,"Mujer","Francia","Francés","Universidad",33,2,"Familiares","El mes que viene ,","voy","VIIP1S","ir",NA,NA,"a trabajar con vosotros en su empresa ."
"A1IR.xlsx","722","2002","Correo electrónico","Cambio trabajo",29,"Mujer","Francia","Francés","Universidad",1,20,"No","Estoy escribiando este correo para presentar me porque el próximo vez ,","voy","VIIP1S","ir",NA,NA,"a cambiar de lugar de trabajo ."
"A1IR.xlsx","776","2160","Correo electrónico","Cambio trabajo",65,"Mujer","Francia","Francés","Otros",64,8,"No","Soy Marie_Claude_Vallet ,","voy","VIIP1S","ir",NA,NA,"a trabajar con ustedes y vengo de Francia , de una ciudad que se llama Lyon y que esta en"
"A1IR.xlsx","776","2161","Nota/aviso","Nota llegar tarde",65,"Mujer","Francia","Francés","Otros",64,8,"No","Esta noche llegara tarde y non deben esperar me para comer porque tengo que trabajar mas tarde y despues","voy","VMIP1S","ir",NA,NA,"a el cine con una amiga y comeremos en un bar ."
"A1IR.xlsx","2129","5994","Correo electrónico","Familia",23,"Mujer","Costa de Marfil","Francés","Secundaria",23,2,"Amigos","Tengo una familia muy grande , pero","voy","VIIP1S","ir",NA,NA,"a hablar solamente de mis padres y de mis hermanos ."
"A1IR.xlsx","775","2157","Correo electrónico","Cambio trabajo",27,"Mujer","Francia","Francés","Otros",20,6,"Amigos","En el fines de semanas ,","voy","VIIP1S","ir",NA,NA,"siempre hacer la compra ."
"A1IR.xlsx","774","2155","Nota/aviso","Nota llegar tarde",22,"Mujer","Francia","Francés","Otros",22,4,"No","no puedo comer en tu casa por la tarde porque","voy","VIIP1S","ir",NA,NA,"a ver mi nobio ."
"A1IR.xlsx","2042","5751","Correo electrónico","Cambio trabajo",71,"Hombre","Francia","Francés","Otros",13,10,"No","En invierno","voy","VIIP1S","ir",NA,NA,"a esquiar ."
"A1IR.xlsx","779","2169","Correo electrónico","Cambio trabajo",52,"Mujer","Francia","Francés","Otros",1,8,"No","actividades en mi ciudad : hay bonitos restaurantes , sympaticos bares para ir de copas con los amigos ; a_veces","voy","VIIP1S","ir",NA,NA,"a escuchar musica o a el cine , y me gusta tambien invitar a algunas amigos en mi casa ."
"A1IR.xlsx","326","906","Correo electrónico","Cambio trabajo",26,"Mujer","Francia","Francés","Universidad",1,2,"Amigos","En algunos meces ,","voy","VIIP1S","ir",NA,NA,"a encontrar vosotros por un nuevo trabajo , entonces , quiero presentar me un_poquito ."
"A1IR.xlsx","1270","3586","Correo electrónico","Cambio trabajo",33,"Mujer","Francia","Francés","Universidad",33,2,"Familiares","Me gustan typos varios de musica : el jazz , el rock , la musica classica ... Cada jueves","voy","VMIP1S","ir",NA,NA,"a el cine para ver peliculas ."
"A1IR.xlsx","841","2345","Correo electrónico","Cambio trabajo",67,"Hombre","Francia","Francés","Primaria",67,3,"Amigos","A veces","voy","VMIP1S","ir",NA,NA,"a el ciné y yo quiero mucho las peliculas de la historia policia"
"A1IR.xlsx","840","2342","Correo electrónico","Cambio trabajo",61,"Mujer","Francia","Francés","Universidad",60,4,"No","Ahora que","voy","VIIP1S","ir",NA,NA,"a trabajar con vosotros creo que es bien presentar me a vosotros ."
"A1IR.xlsx","1974","5564","Correo electrónico","Familia",45,"Hombre","Francia","Francés","Secundaria",45,0,"No","Hoy estoy en Paris y","voy","VIIP1S","ir",NA,NA,"a ver una partida de mi familia que vive cerca de esta ciudad ."
"A1IR.xlsx","1270","3587","Nota/aviso","Nota llegar tarde",33,"Mujer","Francia","Francés","Universidad",33,2,"Familiares","No espera me para cenar porque","voy","VIIP1S","ir",NA,NA,"a llegar tarde a casa ."
